"","X","date_performed","bioassay_performed","biological_rep_number","technical_rep_number","papers_coated_by","performed_by","kd_scored_by","Mort_ScoredBy","X48hr_scored_by","X72hr_scored_by","mosquito_wet_weights_g","mosquito_dry_weights_g","mosquito_wing_lengths","start_exposure_temperature_c","start_exposure_humidity_percentage","end_exposure_temperature_c","end_exposure_humidity_percentage","X24_hour_temperature_c","Mort_Humid_Perc","X48_hour_temperature_c","X48_hour_humidity_percentage","X72_hour_temperature_c","X72_hour_humidity_percentage","colony","insecticide","concentration_percentage","concentration_mgm2","concentration_ugbottle","Knockdown_60min","Mortality_24hr","X48_hour_dead","X72_hour_dead","total_mosquitoes","data_input_checked","bioassay_notes","RawKDProp","RawMortProp","StartHumidProp","EndHumidProp","MortHumidProp","HumidDelta","Alive"
"14",14,"2022-03-09","WHO_tube",1,3,"Not Assesed","jag","gpr","gpr","gpr","gpr",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,23,23,NA,NA,24,NA,NA,0.958333333333333,0.958333333333333,NA,NA,NA,NA,1
"15",15,"2022-03-09","WHO_tube",1,4,"Not Assesed","jag","gpr","gpr","gpr","gpr",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,17,18,NA,NA,22,NA,NA,0.772727272727273,0.818181818181818,NA,NA,NA,NA,4
"16",16,"2022-03-09","WHO_tube",1,5,"Not Assesed","jag","gpr","gpr","gpr","gpr",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,23,22,NA,NA,24,NA,NA,0.958333333333333,0.916666666666667,NA,NA,NA,NA,2
"17",17,"2022-03-09","WHO_tube",1,6,"Not Assesed","jag","gpr","gpr","gpr","gpr",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,25,23,NA,NA,26,NA,NA,0.961538461538462,0.884615384615385,NA,NA,NA,NA,3
"18",18,"2022-03-09","WHO_tube",1,7,"Not Assesed","jag","gpr","gpr","gpr","gpr",0.0274,0.00045,2.974,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,17,17,NA,NA,23,NA,NA,0.739130434782609,0.739130434782609,NA,NA,NA,NA,6
"19",19,"2022-03-09","WHO_tube",1,1,"Not Assesed","gpr","gpr","gpr","gpr","gpr",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","silicone oil","negative",NA,NA,0,1,NA,NA,29,NA,NA,0,0.0344827586206897,NA,NA,NA,NA,28
"20",20,"2022-03-09","WHO_tube",1,2,"Not Assesed","gpr","gpr","gpr","gpr","gpr",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","silicone oil","negative",NA,NA,1,1,NA,NA,34,NA,NA,0.0294117647058824,0.0294117647058824,NA,NA,NA,NA,33
"21",21,"2022-03-09","WHO_tube",1,1,"Not Assesed","gpr","gpr","gpr","gpr","gpr",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,26,25,NA,NA,28,NA,NA,0.928571428571429,0.892857142857143,NA,NA,NA,NA,3
"22",22,"2022-03-09","WHO_tube",1,2,"Not Assesed","gpr","gpr","gpr","gpr","gpr",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,31,31,NA,NA,31,NA,NA,1,1,NA,NA,NA,NA,0
"23",23,"2022-03-09","WHO_tube",1,3,"Not Assesed","gpr","gpr","gpr","gpr","gpr",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,27,25,NA,NA,29,NA,NA,0.931034482758621,0.862068965517241,NA,NA,NA,NA,4
"24",24,"2022-03-09","WHO_tube",1,4,"Not Assesed","gpr","gpr","gpr","gpr","gpr",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,33,32,NA,NA,33,NA,NA,1,0.96969696969697,NA,NA,NA,NA,1
"25",25,"2022-03-09","WHO_tube",1,5,"Not Assesed","gpr","gpr","gpr","gpr","gpr",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,29,29,NA,NA,29,NA,NA,1,1,NA,NA,NA,NA,0
"26",26,"2022-03-09","WHO_tube",1,6,"Not Assesed","gpr","gpr","gpr","gpr","gpr",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,27,27,NA,NA,27,NA,NA,1,1,NA,NA,NA,NA,0
"27",27,"2022-03-09","WHO_tube",1,7,"Not Assesed","gpr","gpr","gpr","gpr","gpr",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,33,24,NA,NA,36,NA,NA,0.916666666666667,0.666666666666667,NA,NA,NA,NA,12
"28",28,"2022-03-09","WHO_tube",1,1,"Not Assesed","gpr","jag","jag","jag","jag",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","silicone oil","negative",NA,NA,0,1,NA,NA,29,NA,NA,0,0.0344827586206897,NA,NA,NA,NA,28
"29",29,"2022-03-09","WHO_tube",1,2,"Not Assesed","gpr","jag","jag","jag","jag",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","silicone oil","negative",NA,NA,1,1,NA,NA,34,NA,NA,0.0294117647058824,0.0294117647058824,NA,NA,NA,NA,33
"30",30,"2022-03-09","WHO_tube",1,1,"Not Assesed","gpr","jag","jag","jag","jag",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,21,25,NA,NA,28,NA,NA,0.75,0.892857142857143,NA,NA,NA,NA,3
"31",31,"2022-03-09","WHO_tube",1,2,"Not Assesed","gpr","jag","jag","jag","jag",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,26,31,NA,NA,31,NA,NA,0.838709677419355,1,NA,NA,NA,NA,0
"32",32,"2022-03-09","WHO_tube",1,3,"Not Assesed","gpr","jag","jag","jag","jag",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,23,27,NA,NA,29,NA,NA,0.793103448275862,0.931034482758621,NA,NA,NA,NA,2
"33",33,"2022-03-09","WHO_tube",1,4,"Not Assesed","gpr","jag","jag","jag","jag",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,33,33,NA,NA,33,NA,NA,1,1,NA,NA,NA,NA,0
"34",34,"2022-03-09","WHO_tube",1,5,"Not Assesed","gpr","jag","jag","jag","jag",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,28,29,NA,NA,29,NA,NA,0.96551724137931,1,NA,NA,NA,NA,0
"35",35,"2022-03-09","WHO_tube",1,6,"Not Assesed","gpr","jag","jag","jag","jag",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,27,27,NA,NA,27,NA,NA,1,1,NA,NA,NA,NA,0
"36",36,"2022-03-09","WHO_tube",1,7,"Not Assesed","gpr","jag","jag","jag","jag",0.0211,0.000465,2.98,"NR",NA,"NR",NA,"NR",NA,"NR",NA,NA,NA,"kisumu","permethrin","4.2999999999999997E-2",NA,NA,34,33,NA,NA,36,NA,NA,0.944444444444444,0.916666666666667,NA,NA,NA,NA,3
"37",37,"2022-03-24","WHO_Tubes",2,1,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,1,NA,NA,25,NA,NA,0,0.04,0.799,0.822,0.804,2.3,24
"38",38,"2022-03-24","WHO_Tubes",2,2,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,41,NA,NA,0,0,0.799,0.822,0.804,2.3,41
"39",39,"2022-03-24","WHO_Tubes",2,1,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","PY_control","negative",NA,NA,1,1,NA,NA,35,NA,NA,0.0285714285714286,0.0285714285714286,0.799,0.822,0.804,2.3,34
"40",40,"2022-03-24","WHO_Tubes",2,1,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","5.0000000000000001E-3",NA,NA,4,15,NA,NA,34,NA,NA,0.117647058823529,0.441176470588235,0.799,0.822,0.804,2.3,19
"41",41,"2022-03-24","WHO_Tubes",2,2,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,3,8,NA,NA,28,NA,NA,0.107142857142857,0.285714285714286,0.799,0.822,0.804,2.3,20
"42",42,"2022-03-24","WHO_Tubes",2,3,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.05",NA,NA,32,32,NA,NA,32,NA,NA,1,1,0.799,0.822,0.804,2.3,0
"43",43,"2022-03-24","WHO_Tubes",2,4,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","7.4999999999999997E-2",NA,NA,38,38,NA,NA,38,NA,NA,1,1,0.799,0.822,0.804,2.3,0
"44",44,"2022-03-24","WHO_Tubes",2,5,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.1",NA,NA,36,36,NA,NA,36,NA,NA,1,1,0.799,0.822,0.804,2.3,0
"45",45,"2022-03-24","WHO_Tubes",2,6,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.15",NA,NA,27,27,NA,NA,27,NA,NA,1,1,0.799,0.822,0.804,2.3,0
"46",46,"2022-03-24","WHO_Tubes",2,1,"Not Assesed","gpr","jag","jag",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,1,1,NA,NA,25,NA,NA,0.04,0.04,0.799,0.822,0.804,2.3,24
"47",47,"2022-03-24","WHO_Tubes",2,2,"Not Assesed","gpr","jag","jag",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,41,NA,NA,0,0,0.799,0.822,0.804,2.3,41
"48",48,"2022-03-24","WHO_Tubes",2,1,"Not Assesed","gpr","jag","jag",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","PY_control","negative",NA,NA,1,1,NA,NA,35,NA,NA,0.0285714285714286,0.0285714285714286,0.799,0.822,0.804,2.3,34
"49",49,"2022-03-24","WHO_Tubes",2,1,"Not Assesed","gpr","jag","jag",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","5.0000000000000001E-3",NA,NA,7,15,NA,NA,34,NA,NA,0.205882352941176,0.441176470588235,0.799,0.822,0.804,2.3,19
"50",50,"2022-03-24","WHO_Tubes",2,2,"Not Assesed","gpr","jag","jag",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,6,8,NA,NA,28,NA,NA,0.214285714285714,0.285714285714286,0.799,0.822,0.804,2.3,20
"51",51,"2022-03-24","WHO_Tubes",2,3,"Not Assesed","gpr","jag","jag",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.05",NA,NA,32,32,NA,NA,32,NA,NA,1,1,0.799,0.822,0.804,2.3,0
"52",52,"2022-03-24","WHO_Tubes",2,4,"Not Assesed","gpr","jag","jag",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","7.4999999999999997E-2",NA,NA,38,38,NA,NA,38,NA,NA,1,1,0.799,0.822,0.804,2.3,0
"53",53,"2022-03-24","WHO_Tubes",2,5,"Not Assesed","gpr","jag","jag",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.1",NA,NA,36,36,NA,NA,36,NA,NA,1,1,0.799,0.822,0.804,2.3,0
"54",54,"2022-03-24","WHO_Tubes",2,6,"Not Assesed","gpr","jag","jag",NA,NA,0.0208,0.00033,2.8489,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.15",NA,NA,27,27,NA,NA,27,NA,NA,1,1,0.799,0.822,0.804,2.3,0
"55",55,"2022-03-24","WHO_Tubes",2,1,"Not Assesed","jag","jag","jag",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,26,NA,NA,0,0,0.799,0.822,0.804,2.3,26
"56",56,"2022-03-24","WHO_Tubes",2,2,"Not Assesed","jag","jag","jag",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,1,NA,NA,18,NA,NA,0,0.0555555555555556,0.799,0.822,0.804,2.3,17
"57",57,"2022-03-24","WHO_Tubes",2,1,"Not Assesed","jag","jag","jag",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","PY_control","negative",NA,NA,1,2,NA,NA,27,NA,NA,0.037037037037037,0.0740740740740741,0.799,0.822,0.804,2.3,25
"58",58,"2022-03-24","WHO_Tubes",2,1,"Not Assesed","jag","jag","jag",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","5.0000000000000001E-3",NA,NA,0,1,NA,NA,24,NA,NA,0,0.0416666666666667,0.799,0.822,0.804,2.3,23
"59",59,"2022-03-24","WHO_Tubes",2,2,"Not Assesed","jag","jag","jag",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,1,3,NA,NA,25,NA,NA,0.04,0.12,0.799,0.822,0.804,2.3,22
"60",60,"2022-03-24","WHO_Tubes",2,3,"Not Assesed","jag","jag","jag",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.05",NA,NA,24,21,NA,NA,24,NA,NA,1,0.875,0.799,0.822,0.804,2.3,3
"61",61,"2022-03-24","WHO_Tubes",2,4,"Not Assesed","jag","jag","jag",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","7.4999999999999997E-2",NA,NA,24,24,NA,NA,24,NA,NA,1,1,0.799,0.822,0.804,2.3,0
"62",62,"2022-03-24","WHO_Tubes",2,5,"Not Assesed","jag","jag","jag",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.1",NA,NA,25,25,NA,NA,25,NA,NA,1,1,0.799,0.822,0.804,2.3,0
"63",63,"2022-03-24","WHO_Tubes",2,6,"Not Assesed","jag","jag","jag",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.15",NA,NA,24,24,NA,NA,24,NA,NA,1,1,0.799,0.822,0.804,2.3,0
"64",64,"2022-03-24","WHO_Tubes",2,1,"Not Assesed","jag","gpr","gpr",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,26,NA,NA,0,0,0.799,0.822,0.804,2.3,26
"65",65,"2022-03-24","WHO_Tubes",2,2,"Not Assesed","jag","gpr","gpr",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,1,NA,NA,18,NA,NA,0,0.0555555555555556,0.799,0.822,0.804,2.3,17
"66",66,"2022-03-24","WHO_Tubes",2,1,"Not Assesed","jag","gpr","gpr",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","PY_control","negative",NA,NA,1,1,NA,NA,27,NA,NA,0.037037037037037,0.037037037037037,0.799,0.822,0.804,2.3,26
"67",67,"2022-03-24","WHO_Tubes",2,1,"Not Assesed","jag","gpr","gpr",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","5.0000000000000001E-3",NA,NA,1,1,NA,NA,24,NA,NA,0.0416666666666667,0.0416666666666667,0.799,0.822,0.804,2.3,23
"68",68,"2022-03-24","WHO_Tubes",2,2,"Not Assesed","jag","gpr","gpr",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,3,NA,NA,25,NA,NA,0,0.12,0.799,0.822,0.804,2.3,22
"69",69,"2022-03-24","WHO_Tubes",2,3,"Not Assesed","jag","gpr","gpr",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.05",NA,NA,24,21,NA,NA,24,NA,NA,1,0.875,0.799,0.822,0.804,2.3,3
"70",70,"2022-03-24","WHO_Tubes",2,4,"Not Assesed","jag","gpr","gpr",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","7.4999999999999997E-2",NA,NA,24,23,NA,NA,24,NA,NA,1,0.958333333333333,0.799,0.822,0.804,2.3,1
"71",71,"2022-03-24","WHO_Tubes",2,5,"Not Assesed","jag","gpr","gpr",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.1",NA,NA,25,23,NA,NA,25,NA,NA,1,0.92,0.799,0.822,0.804,2.3,2
"72",72,"2022-03-24","WHO_Tubes",2,6,"Not Assesed","jag","gpr","gpr",NA,NA,0.0232,0.000344,2.9108,"27",79.9,"27.1",82.2,"27",80.4,NA,NA,NA,NA,"kisumu","permethrin","0.15",NA,NA,24,24,NA,NA,24,NA,NA,1,1,0.799,0.822,0.804,2.3,0
"73",73,"2022-03-31","WHO_Tubes",1,1,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,0,NA,NA,25,NA,NA,0,0,0.804,0.799,0.798,0.5,25
"74",74,"2022-03-31","WHO_Tubes",1,2,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","silicone_oil","negative",NA,NA,0,2,NA,NA,24,NA,NA,0,0.0833333333333333,0.804,0.799,0.798,0.5,22
"75",75,"2022-03-31","WHO_Tubes",1,1,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,25,NA,NA,0,0,0.804,0.799,0.798,0.5,25
"76",76,"2022-03-31","WHO_Tubes",1,2,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,1,NA,NA,26,NA,NA,0,0.0384615384615385,0.804,0.799,0.798,0.5,25
"77",77,"2022-03-31","WHO_Tubes",1,3,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,0,NA,NA,23,NA,NA,0,0,0.804,0.799,0.798,0.5,23
"78",78,"2022-03-31","WHO_Tubes",1,4,"Not Assesed","gpr","gpr","gpr",NA,NA,0.0352,0.00056,3.098,"26.9",80.4,"27.1",79.9,"26.3",79.8,NA,NA,NA,NA,"kisumu","permethrin","0.01",NA,NA,0,1,NA,NA,26,NA,NA,0,0.0384615384615385,0.804,0.799,0.798,0.5,25
